,PRICE,MILEAGE_KM,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,CAR_AGE,DEREG_VALUE_FROM_SCRAPE_DATE,OMV,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,POWER,LISTING_URL,BRAND
3577,124800.0,156000.0,33568.0,2192.0,16.0,20260.0,32766.0,1998.0,1270.0,221.0,https://www.sgcarmart.com/used_cars/info.php?ID=1215080&DL=4286&utm_content=SLeligible,Honda
3578,103999.0,26000.0,41001.0,2617.0,5.0,33170.0,16148.0,1317.0,1030.0,97.0,https://www.sgcarmart.com/used_cars/info.php?ID=1251024&DL=3426&utm_content=SLeligible,Honda
3579,33888.0,139000.0,60101.0,457.0,9.0,23156.0,29350.0,1798.0,1545.0,167.0,https://www.sgcarmart.com/used_cars/info.php?ID=1281158&DL=4381,Audi
3581,55000.0,98500.0,36890.0,1374.0,7.0,21471.0,11434.0,1591.0,1295.0,127.0,https://www.sgcarmart.com/used_cars/info.php?ID=1235526&DL=3712&utm_content=SLeligible,Kia
3583,41800.0,99000.0,41652.0,853.0,8.0,16668.0,21085.0,1496.0,1190.0,128.0,https://www.sgcarmart.com/used_cars/info.php?ID=1271900&DL=3989&utm_content=SLeligible,Honda
3584,42800.0,74000.0,53000.0,820.0,9.0,21338.0,23895.0,1395.0,1249.0,123.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289109&DL=1079,Volkswagen
3585,49800.0,161000.0,31553.0,1679.0,16.0,14730.0,27261.0,2362.0,1540.0,164.0,https://www.sgcarmart.com/used_cars/info.php?ID=1254017&DL=3750&utm_content=SLeligible,Toyota
3586,50800.0,128327.0,50578.0,1370.0,17.0,19330.0,24701.0,1998.0,1540.0,147.0,https://www.sgcarmart.com/used_cars/info.php?ID=1284308&DL=2425&utm_content=SLeligible,Toyota
3587,51800.0,140130.0,32339.0,1612.0,16.0,14406.0,19338.0,1497.0,1150.0,118.0,https://www.sgcarmart.com/used_cars/info.php?ID=1283915&DL=3647&utm_content=SLeligible,Honda
3588,38800.0,117000.0,55200.0,791.0,8.0,22213.0,16807.0,1598.0,1205.0,113.0,https://www.sgcarmart.com/used_cars/info.php?ID=1284797&DL=2626,Nissan
3589,38800.0,125000.0,55200.0,797.0,8.0,20584.0,18689.0,1197.0,1285.0,113.0,https://www.sgcarmart.com/used_cars/info.php?ID=1286863&DL=1193,Nissan
3591,79888.0,136000.0,75801.0,426.0,10.0,68032.0,75212.0,2979.0,1845.0,315.0,https://www.sgcarmart.com/used_cars/info.php?ID=1258790&DL=3811,BMW
3594,53800.0,140588.0,57501.0,610.0,9.0,30118.0,35428.0,1595.0,1425.0,154.0,https://www.sgcarmart.com/used_cars/info.php?ID=1290024&DL=3074,Mercedes-Benz
3597,76800.0,78899.0,25000.0,1526.0,6.0,22382.0,24947.0,1499.0,1195.0,100.0,https://www.sgcarmart.com/used_cars/info.php?ID=1285434&DL=3381,MINI
3598,113800.0,16000.0,47010.0,2645.0,5.0,41487.0,23349.0,1496.0,1320.0,107.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289577&DL=4449,Toyota
