,PRICE,PREDICTED_PRICE,LISTING_URL,BRAND,RECOMMENDED
366,153800.0,161991.085,https://www.sgcarmart.com/used_cars/info.php?ID=1289252&DL=1339,Volkswagen,True
368,92000.0,95832.12,https://www.sgcarmart.com/used_cars/info.php?ID=1286952&DL=2952&utm_content=SLeligible,Mercedes-Benz,True
369,136800.0,137944.19,https://www.sgcarmart.com/used_cars/info.php?ID=1278937&DL=2757&utm_content=SLeligible,Mercedes-Benz,True
370,46800.0,48652.82,https://www.sgcarmart.com/used_cars/info.php?ID=1228058&DL=2140&utm_content=SLeligible,Volkswagen,True
371,9800.0,9999.46,https://www.sgcarmart.com/used_cars/info.php?ID=1289215&DL=3538,Mercedes-Benz,True
372,60800.0,60941.095,https://www.sgcarmart.com/used_cars/info.php?ID=1270482&DL=3647&utm_content=SLeligible,Mercedes-Benz,True
374,124800.0,126705.475,https://www.sgcarmart.com/used_cars/info.php?ID=1290409&DL=3931,BMW,True
375,102888.0,104341.38,https://www.sgcarmart.com/used_cars/info.php?ID=1289939&DL=1027&utm_content=SLeligible,Toyota,True
378,92800.0,101507.145,https://www.sgcarmart.com/used_cars/info.php?ID=1255864&DL=3647&utm_content=SLeligible,Mercedes-Benz,True
381,187800.0,189156.2,https://www.sgcarmart.com/used_cars/info.php?ID=1247931&DL=4184&utm_content=SLeligible,BMW,True
382,116000.0,117142.035,https://www.sgcarmart.com/used_cars/info.php?ID=1285127&DL=3931,Volkswagen,True
383,52800.0,56073.78,https://www.sgcarmart.com/used_cars/info.php?ID=1277764&DL=3750&utm_content=SLeligible,Honda,True
389,26800.0,27413.88,https://www.sgcarmart.com/used_cars/info.php?ID=1288079&DL=1000&utm_content=SLeligible,Mazda,True
390,100800.0,101499.575,https://www.sgcarmart.com/used_cars/info.php?ID=1282774&DL=4162,Audi,True
391,107800.0,109746.84,https://www.sgcarmart.com/used_cars/info.php?ID=1284129&DL=2178,BMW,True
392,70000.0,70359.96,https://www.sgcarmart.com/used_cars/info.php?ID=1276107&DL=1000&utm_content=SLeligible,Peugeot,True
393,91000.0,92503.52,https://www.sgcarmart.com/used_cars/info.php?ID=1209078&DL=1368&utm_content=SLeligible,BMW,True
395,71800.0,73150.235,https://www.sgcarmart.com/used_cars/info.php?ID=1246703&DL=2410&utm_content=SLeligible,Mercedes-Benz,True
396,119800.0,120583.195,https://www.sgcarmart.com/used_cars/info.php?ID=1283012&DL=2754,Jaguar,True
397,41888.0,43850.58,https://www.sgcarmart.com/used_cars/info.php?ID=1275899&DL=1277&utm_content=SLeligible,Mitsubishi,True
398,60800.0,61499.305,https://www.sgcarmart.com/used_cars/info.php?ID=1286262&DL=1032,Nissan,True
404,146666.0,150431.265,https://www.sgcarmart.com/used_cars/info.php?ID=1285106&DL=2792,Peugeot,True
406,54800.0,56865.71,https://www.sgcarmart.com/used_cars/info.php?ID=1282033&DL=3647,Mazda,True
407,39000.0,39497.83,https://www.sgcarmart.com/used_cars/info.php?ID=1288425&DL=1000,Mercedes-Benz,True
411,157000.0,157715.84,https://www.sgcarmart.com/used_cars/info.php?ID=1289746&DL=3597,Mercedes-Benz,True
413,49800.0,50529.91,https://www.sgcarmart.com/used_cars/info.php?ID=1290199&DL=3414,Mercedes-Benz,True
414,54800.0,55202.32,https://www.sgcarmart.com/used_cars/info.php?ID=1282161&DL=4412&utm_content=SLeligible,Suzuki,True
415,123800.0,128110.865,https://www.sgcarmart.com/used_cars/info.php?ID=1283434&DL=1000&utm_content=SLeligible,Mercedes-Benz,True
416,136800.0,139539.225,https://www.sgcarmart.com/used_cars/info.php?ID=1261344&DL=2792&utm_content=SLeligible,Land,True
417,77888.0,78890.13,https://www.sgcarmart.com/used_cars/info.php?ID=1271604&DL=2025&utm_content=SLeligible,Nissan,True
420,19800.0,20687.72,https://www.sgcarmart.com/used_cars/info.php?ID=1289513&DL=3381,Nissan,True
421,81800.0,81909.16,https://www.sgcarmart.com/used_cars/info.php?ID=1246110&DL=3647&utm_content=SLeligible,BMW,True
