,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
76,https://www.sgcarmart.com/used_cars/info.php?ID=1278397&DL=3098&utm_content=SLeligible,Toyota,179777,17970,13-Mar-2014,95000,2014,3880,Auto,,13/03/2024,45900,56260,,0,3955,2180,2,SUV
77,https://www.sgcarmart.com/used_cars/info.php?ID=1277959&DL=1053,BMW,170800,19440,10-Nov-2021,47765,2021,684,Auto,100140,13/03/2024,36862,43607,88000,2772,1499,1505,2,MPV
78,https://www.sgcarmart.com/used_cars/info.php?ID=1272277&DL=1000&utm_content=SLeligible,Volvo,85800,21270,03-Jan-2017,139000,2016,1176,Auto,47053,13/03/2024,42939,52115,56206,1000,1969,1830,2,Luxury Sedan
79,https://www.sgcarmart.com/used_cars/info.php?ID=1245441&DL=3470&utm_content=SLeligible,Kia,74800,14510,18-Dec-2018,83223,2018,738,Auto,20036,13/03/2024,11219,11219,25556,1734,1591,1287,2,Mid-Sized Sedan
80,https://www.sgcarmart.com/used_cars/info.php?ID=1274830&DL=4427&utm_content=SLeligible,Porsche,195520,19540,30-Jun-2015,,2014,1194,Auto,,13/03/2024,62751,84952,,0,1984,1940,4,SUV
81,https://www.sgcarmart.com/used_cars/info.php?ID=1271779&DL=1213,Mazda,83000,15600,30-Nov-2018,81670,2018,1210,Auto,28267,13/03/2024,18815,18815,32000,1706,1998,1515,1,Luxury Sedan
82,https://www.sgcarmart.com/used_cars/info.php?ID=1278575&DL=3519&utm_content=SLeligible,Maserati,178000,21220,02-Nov-2012,46000,2011,6036,Auto,81521,13/03/2024,116522,116522,97176,3048,4691,1980,5,Sports Car
83,https://www.sgcarmart.com/used_cars/info.php?ID=1223195&DL=2792&utm_content=SLeligible,Audi,169800,20550,27-Apr-2021,24000,2020,1194,Auto,78669,13/03/2024,,,61190,2588,1984,1565,1,Luxury
84,https://www.sgcarmart.com/used_cars/info.php?ID=1278602&DL=1368,BMW,129800,15620,21-May-2021,68318,2020,684,Auto,56354,13/03/2024,30765,35071,41801,2622,1499,1380,1,Hatchback
85,https://www.sgcarmart.com/used_cars/info.php?ID=1144779&DL=2493&utm_content=SLeligible,Mercedes-Benz,83800,24010,12-Oct-2016,,2016,1202,Auto,40796,13/03/2024,40493,43691,56500,918,1991,1465,4,Luxury Sedan
