,DEPRE_VALUE_PER_YEAR,PREDICTED_DEPRE,RECOMMENDED,LISTING_URL
1981,10480.0,12131.483347916474,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278194&DL=2049&utm_content=SLeligible
1982,13010.0,14165.748998162675,True,https://www.sgcarmart.com/used_cars/info.php?ID=1273655&DL=2140&utm_content=SLeligible
1984,21340.0,24769.415374931046,True,https://www.sgcarmart.com/used_cars/info.php?ID=1267910&DL=3757&utm_content=SLeligible
1989,19660.0,19867.060041302113,True,https://www.sgcarmart.com/used_cars/info.php?ID=1277368&DL=3647
1991,10650.0,10865.780936613468,True,https://www.sgcarmart.com/used_cars/info.php?ID=1277213&DL=4465&utm_content=SLeligible
1992,10380.0,12429.416718264933,True,https://www.sgcarmart.com/used_cars/info.php?ID=1269039&DL=4123&utm_content=SLeligible
1993,17060.0,17399.92894211535,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278052&DL=4412
1999,23520.0,24352.241942915436,True,https://www.sgcarmart.com/used_cars/info.php?ID=1247793&DL=4413&utm_content=SLeligible
2006,14810.0,15428.166319865628,True,https://www.sgcarmart.com/used_cars/info.php?ID=1274686&DL=1047
2011,37000.0,40581.42396266489,True,https://www.sgcarmart.com/used_cars/info.php?ID=1184700&DL=2493&utm_content=SLeligible
2013,19890.0,26651.1585231252,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278786&DL=4073
2019,13360.0,14632.661377160075,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278423&DL=3627
2020,13870.0,15454.65938119984,True,https://www.sgcarmart.com/used_cars/info.php?ID=1238893&DL=3518&utm_content=SLeligible
2021,14010.0,15034.038846172578,True,https://www.sgcarmart.com/used_cars/info.php?ID=1274289&DL=2305
2026,31690.0,44644.3457660952,True,https://www.sgcarmart.com/used_cars/info.php?ID=1252114&DL=2792&utm_content=SLeligible
2028,21210.0,22296.477390812197,True,https://www.sgcarmart.com/used_cars/info.php?ID=1267379&DL=2397&utm_content=SLeligible
2029,13700.0,17444.837573326447,True,https://www.sgcarmart.com/used_cars/info.php?ID=1240286&DL=2023&utm_content=SLeligible
2030,17840.0,19229.43309840753,True,https://www.sgcarmart.com/used_cars/info.php?ID=1269438&DL=4611&utm_content=SLeligible
2031,22500.0,23338.278871433573,True,https://www.sgcarmart.com/used_cars/info.php?ID=1258834&DL=1418&utm_content=SLeligible
2032,10550.0,14117.532220749461,True,https://www.sgcarmart.com/used_cars/info.php?ID=1246907&DL=1198&utm_content=SLeligible
2034,14860.0,15483.440147451081,True,https://www.sgcarmart.com/used_cars/info.php?ID=1260918&DL=1009&utm_content=SLeligible
2035,15040.0,16577.789695743373,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278092&DL=3282
2041,13800.0,17345.366534817575,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278673&DL=1198
2043,12960.0,13450.160284146565,True,https://www.sgcarmart.com/used_cars/info.php?ID=1275144&DL=3811
2045,13480.0,14739.407785392934,True,https://www.sgcarmart.com/used_cars/info.php?ID=1277904&DL=3597
2046,21840.0,23875.656232345773,True,https://www.sgcarmart.com/used_cars/info.php?ID=1277765&DL=2875
2058,12230.0,14168.548103081175,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278550&DL=2792
